"Percent.of.adults.with.less.than.a.high.school.diploma..2014.18","Percent.of.adults.with.a.high.school.diploma.only..2014.18","Percent.of.adults.completing.some.college.or.associate.s.degree..2014.18","Percent.of.adults.with.a.bachelor.s.degree.or.higher..2014.18","GEOID","Unemployment_rate_2018","Med_HH_Income_Percent_of_State_Total_2018","MEDHHINC_2018","PCTPOVALL_2018","PCTPOV017_2018","PCTPOV517_2018","POP_ESTIMATE_2018","N_POP_CHG_2018","R_birth_2018","R_death_2018","R_INTERNATIONAL_MIG_2018","R_DOMESTIC_MIG_2018","R_NET_MIG_2018","PCT_POP_CHG_2018","cases","deaths","prop_cases","prop_deaths","deaths_cases","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","NAME","LSAD","ALAND","AWATER","lon","lat","text"
9.3,32.7,31.2,26.9,"36023",5.1,76.5,51751,16.9,18.4,15.9,47722,-93,9.7,9.3,0.5,-2.8,-2.4,-0.194878672310465,42,0,0.880097229789196,0,0,"36","023","00974110","0500000US36023","Cortland","06","1291815778","7112822",-76.0702786039898,42.595013658232,"Cortland:0/42="
11.8,37.7,28.6,21.9,"36025",4.8,70,47382,15.9,26.2,24.3,44526,-502,7.8,11.8,0.7,-7.8,-7.2,-1.1274311638144,89,1,1.99883214301756,0.0224587881237928,1.12359550561798,"36","025","00974111","0500000US36025","Delaware","06","3735851364","64818689",-74.9664673960794,42.1980670349914,"Delaware:1/89="
9.5,26.2,29.1,35.2,"36027",3.7,117.7,79604,9.2,11,10.3,293939,394,8.9,9,0.9,0.6,1.5,0.134041416756538,4077,156,13.870224774528,0.530722360761927,3.82634289919058,"36","027","00974112","0500000US36027","Dutchess","06","2060717226","76917249",-73.7428600042269,41.7651466881729,"Dutchess:156/4077="
8.6,27.7,30,33.7,"36029",4.4,83.3,56375,13.7,19.2,17.8,919717,683,10.7,10.5,2.6,-2,0.6,0.0742619740637609,6882,583,7.48273653743489,0.633890642447622,8.47137460040686,"36","029","00974113","0500000US36029","Erie","06","2700643194","476896403",-78.7323171924518,42.7639513902001,"Erie:583/6882="
8.9,32.9,30.7,27.6,"36031",4.8,80.4,54376,11.7,16.1,15.9,37288,-199,8.3,10.8,0.2,-3,-2.8,-0.533683758850032,48,0,1.28727740828148,0,0,"36","031","00974114","0500000US36031","Essex","06","4646744231","316359504",-73.77260404108,44.117191206297,"Essex:0/48="
13.2,37.6,29.8,19.4,"36033",5.1,72,48722,16.7,22.1,20,50279,-186,8.9,10.1,0.3,-2.8,-2.5,-0.36993575846775,25,0,0.497225481811492,0,0,"36","033","00974115","0500000US36033","Franklin","06","4219643543","176696509",-74.3038346714215,44.5928606991728,"Franklin:0/25="
12.6,35.7,33.9,17.8,"36035",5.1,76,51388,13,19.8,18.7,53633,-169,9.5,10.8,0.1,-1.9,-1.8,-0.315104506553801,236,18,4.4002759495087,0.335614267335409,7.6271186440678,"36","035","00974116","0500000US36035","Fulton","06","1283234675","96916406",-74.4221617784955,43.1138348677974,"Fulton:18/236="
7.9,36.6,33.9,21.5,"36037",4.2,87.1,58925,9.9,14.1,12.3,57487,-311,9.8,11.2,0.3,-4.3,-4,-0.540991876424235,216,6,3.75737123175674,0.104371423104354,2.77777777777778,"36","037","00974117","0500000US36037","Genesee","06","1276700275","6142607",-78.1937527387432,43.0009317203209,"Genesee:6/216="
12.8,38.2,27,22.1,"36039",4.6,80.6,54514,13,17.9,16.8,47381,-61,8.1,12,1.2,1.5,2.7,-0.128743589202423,252,5,5.31858761950993,0.105527532133134,1.98412698412698,"36","039","00974118","0500000US36039","Greene","06","1676140493","28201061",-74.122720981441,42.2765136710672,"Greene:5/252="
17.4,28.5,34.8,19.3,"36041",6.9,87.2,59020,9.1,15.5,13.1,4432,-39,5.6,15.7,-0.4,1.6,1.1,-0.879963898916968,6,0,1.35379061371841,0,0,"36","041","00974119","0500000US36041","Hamilton","06","4447982191","234211585",-74.4973753201257,43.6611279980196,"Hamilton:0/6="
10.1,37,32,21,"36043",4.9,78.6,53168,13.5,20.1,18.5,61713,-450,9.4,11,0.1,-5.7,-5.6,-0.729181857955374,128,3,2.07411728485084,0.0486121238636916,2.34375,"36","043","00974120","0500000US36043","Herkimer","06","3655807440","120420521",-74.9625255361898,43.4197052047129,"Herkimer:3/128="
8.9,34,34.8,22.3,"36045",5.6,78,52798,12.3,16,15.1,111866,-1291,16.9,8.2,-1,-19.1,-20.1,-1.15405932097331,82,0,0.733019863050435,0,0,"36","045","00974121","0500000US36045","Jefferson","06","3285906470","1524628784",-75.918012825337,44.0501351814671,"Jefferson:0/82="
18.4,25.6,19.5,36.5,"36047",4.3,90,60862,18.9,26,25.9,2578074,-16602,14.9,6.7,3.5,-18,-14.6,-0.643969102516064,,,,,,"36","047","00974122","0500000US36047","Kings","06","179671325","71098973",-73.938526800168,40.6395406700796,"Kings:NA/NA="
10.2,46.1,27.4,16.3,"36049",5.6,77.8,52660,12.2,18,17.4,26486,-119,11.8,9.7,0.2,-6.8,-6.6,-0.449293966623877,21,0,0.792871705806841,0,0,"36","049","00974123","0500000US36049","Lewis","06","3301307118","39612945",-75.4488485463364,43.7846571866533,"Lewis:0/21="
10.3,32.9,31.4,25.4,"36051",4.3,90.2,61027,12.5,14.1,12.4,63213,-270,7.7,9.3,1.4,-4.1,-2.7,-0.427127331403351,123,4,1.94580228750415,0.0632781231708667,3.2520325203252,"36","051","00974124","0500000US36051","Livingston","06","1636256617","22006106",-77.7754940218355,42.7280629366333,"Livingston:4/123="
8.8,34,30.2,27,"36053",4.8,87.4,59114,10.8,14.3,13.2,71117,175,9.8,8.2,0.4,0.6,1,0.246073372048877,338,4,4.75273141442974,0.0562453421826005,1.18343195266272,"36","053","00974125","0500000US36053","Madison","06","1696091557","16670528",-75.6696486278758,42.9127659112476,"Madison:4/338="
9.7,24,28.7,37.7,"36055",4.3,89,60240,14.4,18.9,18.3,742864,140,10.7,9.1,2.9,-4.3,-1.4,0.0188459798832626,3419,248,4.60245751577678,0.333843072217795,7.25358291898216,"36","055","00974126","0500000US36055","Monroe","06","1701292247","1838454277",-77.6960894661507,43.14644638266,"Monroe:248/3419="
14.2,35.2,33.2,17.5,"36057",5.2,64.7,43799,15.8,24.7,22.5,49394,231,12.3,11.3,3.9,-0.2,3.7,0.467668137830506,104,5,2.10551888893388,0.101226869660283,4.80769230769231,"36","057","00974127","0500000US36057","Montgomery","06","1044066971","18599188",-74.4397157000794,42.9022918072549,"Montgomery:5/104="
8.8,23,23,45.2,"36059",3.5,170.4,115301,5.8,7.6,7.1,1357534,241,10.4,8.2,1.4,-3.4,-2,0.0177527781992937,41320,2677,30.4375433690795,1.97195797674312,6.47870280735721,"36","059","00974128","0500000US36059","Nassau","06","737085188","437386635",-73.5864074824027,40.7327963517135,"Nassau:2677/41320="
13,12.4,13.7,60.8,"36061",3.7,125.1,84610,15.6,19.7,19,1629055,-1643,10.5,6.9,4.7,-9.2,-4.5,-0.100856017752623,,,,,,"36","061","00974129","0500000US36061","New York","06","58680498","28551707",-73.9665637421662,40.7796157039784,"New York:NA/NA="
